id,STEM_subjects,H_subjects,Residence_city,Socioeconomic_level,Civil_status,Age,State,Province,Vulnerable_group,Desired_program,Family_income,Father_level,Mother_level,Dropout,MIN_subject
232,44.0,42.1,LOCAL,2,Single,10,LOCAL,LOCAL,2,UNSPECIFIED,2000000,HIGH SCHOOL,HIGH SCHOOL,YES,42.1
233,42.9,39.7,LOCAL,4,Single,29,LOCAL,LOCAL,2,UNSPECIFIED,1500000,HIGH SCHOOL,UNDERGRADUATE,NO,39.7
234,54.0,48.2,LOCAL,4,Single,29,LOCAL,LOCAL,2,UNSPECIFIED,1500000,UNDERGRADUATE,UNDERGRADUATE,NO,48.2
235,46.1,50.1,LOCAL,1,Single,28,LOCAL,LOCAL,2,UNSPECIFIED,800000,PRIMARY SCHOOL,HIGH SCHOOL,NO,46.1
236,46.6,49.6,LOCAL,4,Single,28,NEIGHBOR,FOREIGN,2,UNSPECIFIED,5500000,UNDERGRADUATE,UNDERGRADUATE,YES,46.6
237,51.8,55.4,LOCAL,2,Single,28,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,HIGH SCHOOL,NO,51.8
238,58.0,56.0,LOCAL,3,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,NO,56.0
239,56.2,50.2,LOCAL,2,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,400000,HIGH SCHOOL,HIGH SCHOOL,YES,50.2
240,46.6,50.3,LOCAL,3,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,3500000,HIGH SCHOOL,TECHNICAL,YES,46.6
241,49.2,47.9,LOCAL,2,Married,27,LOCAL,LOCAL,2,UNSPECIFIED,200000,HIGH SCHOOL,TECHNICAL,NO,47.9
242,42.8,44.8,LOCAL,2,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,2700000,HIGH SCHOOL,HIGH SCHOOL,YES,42.8
243,54.3,33.8,LOCAL,1,Single,24,LOCAL,NEIGHBOR,2,UNSPECIFIED,560000,PRIMARY SCHOOL,PRIMARY SCHOOL,YES,33.8
244,49.0,48.8,LOCAL,2,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,2500000,TECHNICAL,UNDERGRADUATE,NO,48.8
245,40.6,47.7,LOCAL,1,Single,28,LOCAL,NEIGHBOR,1,UNSPECIFIED,1500000,PRIMARY SCHOOL,HIGH SCHOOL,YES,40.6
246,48.7,45.1,NEIGHBOR,1,Single,29,LOCAL,LOCAL,2,UNSPECIFIED,2500000,TECHNOLOGIST,UNDERGRADUATE,YES,45.1
247,51.2,38.6,NEIGHBOR,2,Single,25,LOCAL,NEIGHBOR,2,UNSPECIFIED,2000000,UNDERGRADUATE,TECHNICAL,YES,38.6
248,50.6,54.3,LOCAL,2,Single,26,LOCAL,NEIGHBOR,2,UNSPECIFIED,1200000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,50.6
249,49.8,52.7,LOCAL,2,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,500000,HIGH SCHOOL,HIGH SCHOOL,NO,49.8
250,44.5,40.5,LOCAL,3,Single,34,LOCAL,LOCAL,2,UNSPECIFIED,3000000,HIGH SCHOOL,UNDERGRADUATE,NO,40.5
251,51.5,46.8,LOCAL,2,Single,32,FOREIGN,FOREIGN,2,UNSPECIFIED,5000000,TECHNOLOGIST,PRIMARY SCHOOL,NO,46.8
252,53.3,48.3,LOCAL,4,Single,32,LOCAL,LOCAL,2,UNSPECIFIED,3000000,UNDERGRADUATE,UNDERGRADUATE,NO,48.3
253,46.8,48.0,LOCAL,2,Single,27,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,1200000,HIGH SCHOOL,HIGH SCHOOL,NO,46.8
254,47.3,44.2,LOCAL,3,Single,27,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,YES,44.2
255,41.9,44.8,LOCAL,1,Single,26,LOCAL,NEIGHBOR,2,ELECTRONIC AUTOMATION TECHNOLOGY,1763000,TECHNICAL,TECHNICAL,NO,41.9
256,53.8,47.4,LOCAL,3,Single,26,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,NO,47.4
257,46.5,42.4,LOCAL,2,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,2600000,HIGH SCHOOL,TECHNOLOGIST,YES,42.4
258,55.6,41.7,LOCAL,1,Single,25,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,1000000,UNDERGRADUATE,UNDERGRADUATE,NO,41.7
259,53.5,55.9,NEIGHBOR,2,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,515000,PRIMARY SCHOOL,HIGH SCHOOL,YES,53.5
260,51.2,39.6,LOCAL,2,Single,25,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,NO,39.6
261,54.8,48.3,LOCAL,2,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,500000,PRIMARY SCHOOL,PRIMARY SCHOOL,YES,48.3
262,52.1,38.6,LOCAL,4,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,2400000,UNDERGRADUATE,UNDERGRADUATE,NO,38.6
263,44.5,49.8,LOCAL,3,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,2500000,TECHNOLOGIST,UNDERGRADUATE,YES,44.5
264,45.8,36.0,LOCAL,3,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,1000000,PRIMARY SCHOOL,PRIMARY SCHOOL,YES,36.0
265,47.0,43.3,LOCAL,2,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,300000,HIGH SCHOOL,HIGH SCHOOL,YES,43.3
266,58.5,47.3,LOCAL,3,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,2500000,HIGH SCHOOL,UNDERGRADUATE,NO,47.3
267,38.5,40.3,LOCAL,2,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,500000,HIGH SCHOOL,PRIMARY SCHOOL,YES,38.5
268,51.8,49.3,LOCAL,1,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,750000,TECHNICAL,TECHNOLOGIST,YES,49.3
269,45.3,43.3,LOCAL,1,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,644000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,43.3
270,55.0,49.3,LOCAL,2,Single,23,LOCAL,LOCAL,-1,UNSPECIFIED,1500000,HIGH SCHOOL,UNDERGRADUATE,NO,49.3
271,51.8,50.3,LOCAL,3,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,2270000,UNDERGRADUATE,HIGH SCHOOL,NO,50.3
272,45.0,34.5,LOCAL,1,Single,23,LOCAL,NEIGHBOR,2,UNSPECIFIED,1200000,HIGH SCHOOL,TECHNOLOGIST,YES,34.5
273,49.8,35.3,LOCAL,3,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,NO,35.3
